,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
619,9.827432870864868,0.22206837741583038,0.41234930356343585,0.002502738483041508,entropy,12,0.8,3,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.7857142857142857,0.7876964226011367,0.7806740826830483,0.7846949303328236,0.002956081700109275,275
620,2.7579003175099692,0.2814301727267161,0.11290923754374187,0.0019368717758628824,entropy,12,0.8,3,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 80}",0.7849498327759198,0.7889111556446224,0.7834710743801654,0.7857773542669024,0.00229669543830593,259
621,4.214584430058797,0.13468826889897262,0.176606814066569,0.0033893521101979293,entropy,12,0.8,3,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 128}",0.785774198959906,0.7884423779475257,0.7788079470198674,0.7843415079757664,0.004061610306022366,279
622,6.29974643389384,0.024193098457965804,0.2884966532389323,0.019179795854798756,entropy,12,0.8,3,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.7868301696623551,0.7904650775129188,0.7827380952380953,0.7866777808044564,0.0031563671672634294,243
623,9.494521299997965,0.027035766216201653,0.40815162658691406,0.009149278614795633,entropy,12,0.8,3,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.785869747195714,0.7905811623246494,0.7847222222222222,0.7870577105808619,0.0025351183449425327,230
624,2.756274382273356,0.02127125839535331,0.11961921056111653,0.0008225170843630478,entropy,12,0.9,1,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.7927531324077209,0.7905111927831607,0.7842219622263079,0.7891620958057298,0.003611118308496924,186
625,4.4843207995096845,0.030534072034946753,0.19205768903096518,0.003637460003705984,entropy,12,0.9,1,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 128}",0.796214937478878,0.7885484681064792,0.7841702693714666,0.7896445583189412,0.004977922442801101,177
626,7.102468331654866,0.05291624257021496,0.2835876941680908,0.011211470957326702,entropy,12,0.9,1,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7936080740117747,0.7913813262067814,0.7846588079030384,0.7898827360405315,0.0038040916862442944,171
627,10.901015122731527,0.28590957213070084,0.41495196024576825,0.0007688088531519362,entropy,12,0.9,1,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7936026936026936,0.7937354215261581,0.7889388639013826,0.7920923263434115,0.002230492950804333,148
628,2.9159979820251465,0.22067576551580179,0.11656030019124348,0.0034841004731728993,entropy,12,0.9,1,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 80}",0.7959966638865722,0.7876357560568088,0.7835907656535459,0.7890743951989757,0.005165839052731066,188
629,4.4541018803914385,0.031092045664421936,0.17654895782470703,0.004355918484593591,entropy,12,0.9,1,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 128}",0.7891363022941971,0.7883775613033255,0.7873572728777097,0.7882903788250775,0.0007288973428254116,204
630,6.857713540395101,0.055522677455176375,0.2698204517364502,0.0014702072481599829,entropy,12,0.9,1,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.791680644079168,0.7937406359247544,0.7866178428761651,0.7906797076266958,0.0029927635544953865,158
631,10.285929044087728,0.057533691110904644,0.4278130531311035,0.014574561055858444,entropy,12,0.9,1,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.7933130699088146,0.7926359832635983,0.7830282861896839,0.7896591131206989,0.00469684368649757,176
632,2.725003957748413,0.024359414208136032,0.11227146784464519,0.002256767004188349,entropy,12,0.9,2,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 80}",0.7904633982538616,0.785869021829695,0.7846432690723347,0.7869918963852971,0.0025052094221347516,233
633,4.424350579579671,0.053258674748270646,0.17815764745076498,0.0030185266615756334,entropy,12,0.9,2,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 128}",0.7903630583904968,0.7906744379683597,0.7847302904564315,0.7885892622717626,0.002731664561400579,200
634,7.2646721204121905,0.11066802609887831,0.2721558411916097,0.004931972200703112,entropy,12,0.9,2,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7918422383279958,0.7924842035251081,0.7842812137290665,0.7895358851940567,0.003724845319590561,179
635,10.244864781697592,0.13291409849765523,0.4064773718516032,0.008585838094836578,entropy,12,0.9,2,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.9, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7911126073051675,0.7910397860247409,0.7829264241820296,0.7883596058373127,0.003841954616181631,203
